id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
17a65ca0-0147-42d5-86ef-6c8e5e12e9d4,Euroopa Komisjoni esindus Eestis,2023-01-10T09:29:38.373Z,69995759-7b56-4257-84af-1289432cf1eb,OTH,true,true,Estonia,ee,131942593914,Euroopa Komisjoni esindus Eestis,Facebook
1e6373ae-67b0-4f9f-bad8-eb5dd659c16f,Sten Perillus,2023-01-10T09:29:39.234Z,30605537-7112-4b82-a31e-a7af2b9c97a8,OTH,true,true,Estonia,ee,100523878806048,Sten Perillus,Facebook
27e30040-06b9-4fdd-b6b9-1b6ba901e255,Eesti Euroopa Liikumine,2023-01-10T09:29:37.931Z,22395a96-b84a-40d0-978a-d5af7db8e4c6,OTH,true,true,Estonia,ee,101407452585205,Eesti Euroopa Liikumine,Facebook
2b351847-3a17-4105-95b5-c67b5e9a5ca3,Tartu linn,2023-01-10T09:29:38.320Z,e49f8ba1-aba0-45e1-ab16-d6b388be3b9c,OTH,true,true,Estonia,ee,170821139207,Tartu linn,Facebook
2fba0014-dfc1-4309-b99f-3a160e8adbc2,Pärnumaa Volikogud,2023-01-10T09:29:39.576Z,b2fd8e52-51a0-4353-aa52-886d245f9dfc,OTH,true,true,Estonia,ee,307922829724487,Pärnumaa Volikogud,Facebook
30df4273-c71f-497e-a5f1-38b3830d5bae,Indrek Luberg,2023-01-10T09:29:39.491Z,0bb4a115-0d9e-49b3-9dc7-6bce29ca23c8,OTH,true,true,Estonia,ee,100739938580808,Indrek Luberg,Facebook
3de74ce5-6762-47f9-9f85-9140bec5658a,Mihhail Stalnuhhin - Михаил Стальнухин,2023-01-10T09:29:38.156Z,a50dc652-b369-48e7-b99f-4d8cdb7c6637,OTH,true,true,Estonia,ee,108560351892025,Mihhail Stalnuhhin - Михаил Стальнухин,Facebook
47f52884-2f03-460f-8346-059bae34f49f,"Jah vabadusele, ei valedele",2023-01-10T09:29:38.391Z,7d36f11e-fbd2-47c2-b53f-a4c9f9d40e89,OTH,true,true,Estonia,ee,1959753937483931,"Jah vabadusele, ei valedele",Facebook
498b4d1c-344c-4a53-bb36-d0938f1498ea,Tartu Linna Noortevolikogu,2023-01-10T09:29:39.158Z,1dfe1deb-c46a-4a88-939e-fc9fd2cc5745,OTH,true,true,Estonia,ee,766541947036040,Tartu Linna Noortevolikogu,Facebook
5c2e5b99-96c8-4b5b-a2a5-b284fc5a54ff,Timur Sagitov,2023-02-16T10:52:05.387Z,18ead7a8-22a6-44ea-808f-cc24d8ab1e2c,OTH,true,true,Estonia,ee,1670592216347342,Timur Sagitov,Facebook
