page_name,page_id,party,source
GroenLinks Rotterdam,116050085145365,GroenLinks,NA
Meerssense VVD,1160701620720060,VVD,NA
GroenLinks Overbetuwe,1166808893329410,GroenLinks,NA
Carla Dik-Faber,1169104093164170,ChristenUnie,NA
VVD Vught-Helvoirt-Cromvoirt,117095328492297,VVD,NA
VVD Halderberge,117128052210675,VVD,NA
VVD Lokaal Netwerk Brussel,117346168281139,VVD,NA
D66 Woerden,117481438306203,D66,NA
VVD Wormerland,1196350273823970,VVD,NA
SP Kerkrade,120767601437627,SP,NA
SP Zutphen/Warnsveld,1207987872568660,SP,NA
VVD,121264564551002,VVD,NA
PvdA Noordoostpolder,1218520171552620,PvdA,NA
Burgemeester Han van Midden,122476232484830,VVD,NA
Partij voor de Dieren Den Haag,122589134531844,PvdD,NA
VVD Gemert-Bakel,1228215290628520,VVD,NA
VVD Venlo,123074804424518,VVD,NA
PvdA Brabant,123604241074923,PvdA,NA
D66 Enschede,123661660977745,D66,NA
Klaas Dijkhoff,124282324250399,VVD,NA
Bert Veenstra - aspirant kandidaat voor Partij van de Arbeid,1245849062154550,PvdA,NA
D66 Aalten-Dinxperlo,1248801595203740,D66,NA
SP Groningen,125382950819455,SP,NA
Libertaire Partij - LP,125663380814227,Libertaire Partij,NA
PVV Sittard-Geleen,1263240523724890,PVV,NA
JOVD Eindhoven,128111953937914,VVD,NA
SP,128393027527,SP,NA
De Utrechtse VVD,128640250574683,VVD,NA
Partij voor de Dieren Zeeland,129568950441577,PvdD,NA
D66 Eemsdelta,130487254323668,D66,NA
JFVD,1310158545730620,FvD,NA
D66 's-Hertogenbosch,131158970298702,D66,NA
Daniel Koerhuis,1312513348824130,VVD,NA
GroenLinks Den Haag,133610523380150,GroenLinks,NA
D66 Oisterwijk,1345685305522860,D66,NA
CDA Terneuzen,134845486657988,CDA,NA
SGP-jongeren,134898129893433,SGP,NA
CDA Katwijk,135376383177889,CDA,NA
Arnout van den Bosch - Raadslid PvdA Amstelveen,135501903830947,PvdA,NA
"CDJA, CDA-jongeren",135642563196256,CDA,NA
VVD Harderwijk-Hierden,135925936464418,VVD,NA
SP Rotterdam,136653320218,SP,NA
D66 Lingewaard,1377280262539840,D66,NA
Raoul Boucke,1378051212479420,D66,NA
Pvda Lingewaard,1380763172182210,PvdA,NA
Agnes Mulder,138208102983774,CDA,NA
PvdA Vlaardingen,1383104228576990,PvdA,NA
Thom de Vries D66,138401470173379,D66,NA
PvdA Tilburg,1389317844656910,PvdA,NA
PvdA Nijmegen,1393529407559070,PvdA,NA
PvdA Winterswijk,1393972554182060,PvdA,NA
JOVD Amsterdam e.o.,140197449380734,VVD,NA
Pvda Rijswijk,140205082843346,PvdA,NA
Christenunie Hardenberg,1407071029524550,ChristenUnie,NA
GroenLinks Helmond,1411283215766690,GroenLinks,NA
PvdA Goes,1412530858983760,PvdA,NA
GroenLinks Alkmaar,1414350562183210,GroenLinks,NA
CDA Ermelo,1417520661873950,CDA,NA
De Deurnese VVD,1422274718011010,VVD,NA
PvdA Valkenswaard,1422889834673370,PvdA,NA
NIDA,1438054859744080,NIDA,NA
JOVD Utrecht e.o.,143965825711068,VVD,NA
Wethouder Robert van Asten,1440785062866880,D66,NA
SP Haarlem,1441662002729820,SP,NA
PvdA Amersfoort,144728552295443,PvdA,NA
VVD Leiden,145751698819583,VVD,NA
Volt Nederland,146644665960101,Volt Nederland,NA
Jos van Ginneken,146649939174312,CDA,NA
D66 Zeeland,146790238829202,D66,NA
SGP Urk,1475272182780530,SGP,NA
D66 Leiden,147722648491,D66,NA
Gert-Jan Segers,147772805659767,ChristenUnie,NA
VVD Heemskerk,148005128902583,VVD,NA
Ingrid van Wifferen,148530589219712,D66,NA
Lelystad SGP,1502902726692280,SGP,NA
Partij van de Arbeid PvdA Midden-Groningen,1510532972292650,PvdA,NA
CDA Heemskerk,1512067898874080,CDA,NA
CDA Sint-Michielsgestel,151541561675000,CDA,NA
SGP Goeree-Overflakkee,151766691678928,SGP,NA
FVD Amsterdam,1519997944789250,FvD,NA
De Amsterdamse VVD,152313778157632,VVD,NA
CDA Zuid-Holland,1523833891223460,CDA,NA
Wetenschappelijk Instituut ChristenUnie,152432188110990,ChristenUnie,NA
GroenLinks Berg en Dal,153189941370381,GroenLinks,NA
Jonge Democraten,153357044722038,D66,NA
D66 Overijssel,153430294762818,D66,NA
Partij voor de Dieren Noord-Brabant,153434794680208,PvdD,NA
VVD Altena,1543542572602850,VVD,NA
De Rotterdamse VVD,154456451319810,VVD,NA
Groenlinks Schagen,154736434721703,GroenLinks,NA
DENK,1550088745275910,DENK,NA
PvdA Waalwijk,1551637291831660,PvdA,NA
Wethouder Klaas Valkering,1555448837895990,CDA,NA
CDA Zaanstad,1557210341199530,CDA,NA
D66 Den Haag,155758593317,D66,NA
CDA Provincie Utrecht,1559225897625340,CDA,NA
VVD Oisterwijk,155956504541781,VVD,NA
VVD Waterschap Limburg,1563699950578930,VVD,NA
PVV Lelystad,156993281594555,PVV,NA
VVD Gennep,157342181127991,VVD,NA
Wiardi Beckman Stichting,157600177601312,PvdA,NA
ChristenUnie Zeeland,157671251089913,ChristenUnie,NA
CDA Harderwijk Hierden,1595248250741420,CDA,NA
Harry van der Molen,1598361623791980,CDA,NA
D66 Haarlemmermeer,160222337386850,D66,NA
Michael Kalthoff,160231627962186,D66,NA
VVD Olst-Wijhe,160488060781842,VVD,NA
VVD Zoetermeer,162212757160066,VVD,NA
Forum voor Democratie Zeeland,1631684917126240,FvD,NA
Jonge Democraten Amsterdam,163556367006942,D66,NA
CDA Midden-Groningen,1649013595380040,CDA,NA
Marie-José de Bruijn Raadslid Gemeente Beek,1662148977224700,CDA,NA
PvdA Het Hogeland,1663807260315460,PvdA,NA
SP Winterswijk,166722416859309,SP,NA
D66Velsen,167333296705784,D66,NA
VVD Helmond,167597420073347,VVD,NA
Piratenpartij Utrecht - PPU,167833720446018,Piratenpartij,NA
GroenLinks Dordrecht,168582430001649,GroenLinks,NA
VVD Haarlem,169065999840857,VVD,NA
ChristenUnie Rijssen-Holten,169693763207431,ChristenUnie,NA
VVD Bunnik,169783746552665,VVD,NA
PvdA Amsterdam,170060616402275,PvdA,NA
Michel Rog,1701977273392330,CDA,NA
Koggenlandse VVD,170320339747730,VVD,NA
Rotterdam BIJ1,170469190212212,BIJ1,NA
Raymond Knops,1705660683039800,CDA,NA
PvdA Stichtse Vecht,1715340175444650,PvdA,NA
D66 Delft,171999852960244,D66,NA
Liberale Partij Maastricht,1725464544369370,Libertaire Partij,NA
Maurits von Martels CDA,1727815447535720,CDA,NA
D66 Noord-Beveland,1729913110668530,D66,NA
Jolanda van Gool PvdA073,1734008883285300,PvdA,NA
Malik Azmani,1734459723547460,VVD,NA
VVD Maasland,1743766155846130,VVD,NA
GroenLinks Edam-Volendam,174522982750697,GroenLinks,NA
GroenLinks Midden-Groningen,1745762299021140,GroenLinks,NA
Partij voor de Dieren Almere,1746352698711500,PvdD,NA
Alkmaarse VVD,174727955895958,VVD,NA
Arjan de Vries,174891033059631,PvdA,NA
D66 Goes,1750415495212070,D66,NA
Marius Wiegman,175250373219599,VVD,NA
CDA Den Haag,175658419295023,CDA,NA
GroenLinks,175740570505,GroenLinks,NA
Burgemeester Michiel Pijl,1771461669799660,CDA,NA
CDA Smallingerland,1787602688161420,CDA,NA
VVD Rhenen,1788767758074480,VVD,NA
René Peters,1791229601140640,CDA,NA
GroenLinks Veenendaal,180322962326,GroenLinks,NA
Partij voor de Dieren Alkmaar,1803486813232260,PvdD,NA
Jonge Democraten Leiden - Haaglanden (JD),180992861938464,D66,NA
GroenLinks Groningen,181031342395,GroenLinks,NA
VVD-Woudenberg,183495805173455,VVD,NA
Almeerse VVD,183538275059926,VVD,NA
Rudmer Heerema,1839041743042730,VVD,NA
CDA Hoeksche Waard,184189882389473,CDA,NA
Joba van den Berg,1844392342447690,CDA,NA
PVV Hengelo,185988911871870,PVV,NA
Mustafa Amhaouch,1862580210628900,CDA,NA
D66 Almere,186370224739032,D66,NA
Pvda Beesel-Reuver,186407568165708,PvdA,NA
VVD Zwartewaterland,187680031329594,VVD,NA
Pvda Hof van Twente,187885148045634,PvdA,NA
David Bosch - PVV Utrecht,190051308416101,PVV,NA
